日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,5MA,10MA,20MA,rsv,k,d
112/11/05,27979160.0,915667247.0,32.55,32.95,32.5,32.9,0.55,7848.0,,32.32,31.990000000000002,32.5175,0.9687499999999973,0.7129812565723643,0.503371671064109
112/11/06,20773959.0,682282007.0,33.0,33.1,32.75,32.8,-0.1,8132.0,,32.48,32.095,32.5125,0.8285714285714262,0.7515113139053848,0.5860848853445342
112/11/07,23906987.0,771362752.0,32.8,32.8,32.4,32.55,-0.25,6296.0,,32.54,32.184999999999995,32.5025,0.6562499999999977,0.719757542603589,0.6306424377642191
112/11/08,22505196.0,738051946.0,32.8,33.05,32.65,32.9,0.35,5979.0,,32.7,32.325,32.5075,0.8709677419354821,0.7701609423808867,0.6771486059697749
112/11/09,16366451.0,539313665.0,33.0,33.1,32.75,32.9,0.0,5907.0,,32.809999999999995,32.459999999999994,32.4975,0.8518518518518499,0.7973912455378744,0.717229485825808
112/11/12,10690090.0,351476457.0,32.9,33.0,32.8,32.85,-0.05,5355.0,,32.8,32.56,32.455,0.772727272727273,0.7891699212676739,0.7412096309730967
112/11/13,14964159.0,490414520.0,33.0,33.0,32.6,32.8,-0.05,6739.0,,32.8,32.64,32.405,0.7272727272727237,0.7685375232693571,0.7503189284051834
112/11/14,16721751.0,544570648.0,32.9,32.9,32.5,32.5,-0.3,8581.0,,32.79,32.665,32.35,0.29411764705882304,0.6103975645325124,0.7036784737809597
112/11/15,36628181.0,1209338396.0,33.0,33.15,32.8,33.15,0.65,12336.0,,32.84,32.769999999999996,32.335,1.0,0.7402650430216748,0.715873996861198
112/11/16,23429454.0,776191694.0,33.35,33.35,33.0,33.05,-0.1,9854.0,,32.87,32.84,32.364999999999995,0.6842105263157859,0.7215802041197119,0.7177760659473693
112/11/19,25951662.0,808991935.0,33.05,33.35,33.0,33.2,0.15,5782.0,,32.940000000000005,32.87,32.43,0.8421052631578967,0.7617552237991068,0.7324357852312817
112/11/20,12434498.0,417189349.0,33.2,33.75,33.1,33.6,0.4,6785.0,,33.1,32.95,32.5225,0.8800000000000011,0.8011701491994048,0.7553472398873227
112/11/21,33522499.0,1141533442.0,33.7,34.2,33.7,34.2,0.6,13341.0,,33.44,33.115,32.65,1.0,0.8674467661329364,0.7927137486358605
112/11/22,15687176.0,532787644.0,34.05,34.15,33.85,33.85,-0.35,10231.0,,33.58,33.209999999999994,32.7675,0.794117647058823,0.8430037264415652,0.8094770745710953
112/11/23,16945844.0,574527168.0,33.85,34.05,33.65,34.0,0.15,8116.0,,33.77,33.32,32.89,0.8823529411764691,0.8561201313531998,0.82502476016513
112/11/26,20353723.0,690507163.0,33.95,34.1,33.75,33.75,-0.25,7160.0,,33.88,33.41,32.985,0.7352941176470575,0.8158447934511524,0.8219647712604707
112/11/27,22155103.0,755826760.0,33.9,34.35,33.8,33.95,0.2,8919.0,,33.95,33.525,33.082499999999996,0.7419354838709694,0.7912083569244247,0.8117126331484553
112/11/28,65709089.0,2292862986.0,35.0,35.5,34.5,34.5,0.55,29977.0,,34.010000000000005,33.725,33.195,0.6,0.7274722379496164,0.7836325014155089
112/11/29,27501623.0,945813475.0,34.6,34.8,34.1,34.25,-0.25,14913.0,,34.089999999999996,33.835,33.3025,0.5,0.6516481586330776,0.7396377204880318
112/11/30,106415572.0,3721321159.0,34.3,35.3,34.3,34.95,0.7,19511.0,,34.28,34.025,33.4325,0.7708333333333344,0.6913765501998298,0.7235506637252977
112/12/03,35911150.0,1240473619.0,34.6,34.75,34.3,34.4,-0.55,16853.0,,34.410000000000004,34.144999999999996,33.50750000000001,0.4054054054054051,0.596052835268355,0.6810513875729834
112/12/04,23927886.0,819207132.0,34.5,34.55,34.05,34.05,-0.35,13001.0,,34.43,34.190000000000005,33.57,0.21621621621621528,0.4694406289176417,0.6105144680212029
112/12/05,24322560.0,843124502.0,34.0,34.9,34.0,34.9,0.85,10993.0,,34.510000000000005,34.26,33.6875,0.6756756756756751,0.5381856445036528,0.5864048601820195
112/12/06,11793732.0,409794157.0,34.95,35.05,34.6,34.6,-0.3,7537.0,,34.58,34.335,33.7725,0.48571428571428654,0.520695191573864,0.5645016373126344
112/12/07,7387622.0,255159039.0,34.6,34.75,34.4,34.5,-0.1,5021.0,,34.489999999999995,34.385000000000005,33.8525,0.4117647058823539,0.48438502967669395,0.5377961014339876
112/12/10,12386018.0,429170096.0,34.7,34.85,34.6,34.6,0.1,3906.0,,34.53,34.470000000000006,33.940000000000005,0.40000000000000097,0.4562566864511296,0.5106162964397015
112/12/11,7662596.0,263273230.0,34.6,34.65,34.2,34.4,-0.2,6230.0,,34.6,34.515,34.019999999999996,0.30769230769230727,0.40673522686485547,0.47598927324808615
112/12/12,9012408.0,308076135.0,34.4,34.4,34.1,34.15,-0.25,5646.0,,34.45,34.48,34.1025,0.11538461538461454,0.3096183563714418,0.42053230095587135
112/12/13,8905633.0,303888092.0,34.15,34.2,34.05,34.05,-0.1,4863.0,,34.339999999999996,34.459999999999994,34.1475,0.04761904761904504,0.2222852534539762,0.35444995178857297
112/12/14,10868064.0,373762329.0,34.5,34.55,34.1,34.4,0.35,5184.0,,34.32,34.404999999999994,34.215,0.38095238095238065,0.27517429595344434,0.3280247331768634
112/12/17,22372270.0,769032993.0,34.5,34.55,34.3,34.3,-0.1,7318.0,,34.260000000000005,34.394999999999996,34.269999999999996,0.28571428571428376,0.27868762587372414,0.31157903074248366
112/12/18,7431723.0,256466923.0,34.45,34.7,34.35,34.55,0.25,4742.0,,34.29,34.445,34.317499999999995,0.5,0.3524584172491494,0.32520549291137224
112/12/19,8855505.0,304222359.0,34.7,34.7,34.2,34.35,-0.2,5835.0,,34.33,34.39,34.325,0.37500000000000333,0.35997227816610067,0.336794421329615
112/12/20,9066776.0,312007536.0,34.45,34.6,34.25,34.5,0.15,5264.0,,34.42,34.38,34.3575,0.5625000000000006,0.4274815187774006,0.3670234538122102
112/12/21,7255766.0,248260665.0,34.25,34.35,34.15,34.25,-0.25,4978.0,,34.39,34.355000000000004,34.37,0.3076923076923094,0.3875517817490368,0.37386622979115236
112/12/24,7317372.0,250494059.0,34.2,34.35,34.15,34.3,0.05,3342.0,,34.39,34.324999999999996,34.3975,0.38461538461538125,0.3865729827044849,0.3781018140955965
